source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051240,positive regulation of multicellular organismal process,6.053550718179691e-93,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1639,454,195,20972,0.42951541850220265,0.11897498474679682,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0048583,regulation of response to stimulus,3.017801186829354e-91,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,454,284,20972,0.6255506607929515,0.07112446781868269,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0023052,signaling,3.712943973440669e-90,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,454,352,20972,0.775330396475771,0.05367490088441598,query_1,['GO:0050789']
GO:BP,GO:0007154,cell communication,1.5247797511626022e-87,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,454,350,20972,0.7709251101321586,0.05304637769020915,query_1,['GO:0009987']
GO:BP,GO:0051716,cellular response to stimulus,9.463295732815959e-83,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,454,363,20972,0.7995594713656388,0.04888888888888889,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0050776,regulation of immune response,3.694046471396291e-82,True,"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",970,454,148,20972,0.32599118942731276,0.15257731958762888,query_1,"['GO:0002682', 'GO:0006955', 'GO:0048583']"
GO:BP,GO:0006950,response to stress,3.1316606864520744e-81,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,454,272,20972,0.5991189427312775,0.06827309236947791,query_1,['GO:0050896']
GO:BP,GO:0048518,positive regulation of biological process,1.363952878496914e-79,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,454,330,20972,0.7268722466960352,0.05365853658536585,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0016477,cell migration,1.5123237901877228e-79,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1532,454,176,20972,0.3876651982378855,0.11488250652741515,query_1,['GO:0048870']
GO:BP,GO:0046649,lymphocyte activation,5.119026181368636e-79,True,"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]",811,454,135,20972,0.2973568281938326,0.16646115906288533,query_1,['GO:0045321']
GO:CC,GO:0009897,external side of plasma membrane,5.417108428272802e-79,True,"""The leaflet of the plasma membrane that faces away from the cytoplasm and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos, GOC:tb]",397,459,101,22155,0.22004357298474944,0.25440806045340053,query_1,"['GO:0005886', 'GO:0009986', 'GO:0098552']"
GO:BP,GO:0006954,inflammatory response,7.336757161966419e-77,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",873,454,137,20972,0.30176211453744495,0.15693012600229095,query_1,['GO:0006952']
GO:BP,GO:0032501,multicellular organismal process,1.1475698738209115e-76,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,454,354,20972,0.7797356828193832,0.04824860297124165,query_1,['GO:0008150']
GO:BP,GO:0098609,cell-cell adhesion,3.6179989299147905e-76,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",965,454,142,20972,0.31277533039647576,0.14715025906735751,query_1,['GO:0007155']
GO:CC,GO:0031982,vesicle,8.248007678613853e-76,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",4032,459,261,22155,0.5686274509803921,0.06473214285714286,query_1,['GO:0043227']
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,2.0380972313438e-74,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,454,182,20972,0.4008810572687225,0.10241980866629151,query_1,['GO:0008150']
GO:BP,GO:0002252,immune effector process,2.7651661994616178e-73,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,454,123,20972,0.2709251101321586,0.1732394366197183,query_1,['GO:0002376']
GO:BP,GO:0050865,regulation of cell activation,4.081934786698579e-73,True,"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]",627,454,117,20972,0.2577092511013216,0.18660287081339713,query_1,"['GO:0001775', 'GO:0050794', 'GO:0051239']"
GO:BP,GO:0040011,locomotion,6.435252688488114e-73,True,"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]",1236,454,154,20972,0.3392070484581498,0.12459546925566344,query_1,['GO:0008150']
GO:CC,GO:0098552,side of membrane,1.9987114314097233e-72,True,"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]",731,459,121,22155,0.2636165577342048,0.16552667578659372,query_1,"['GO:0016020', 'GO:0110165']"
GO:MF,GO:0038023,signaling receptor activity,4.797425340876309e-72,True,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]",1513,454,169,20208,0.3722466960352423,0.1116986120290813,query_1,['GO:0060089']
GO:MF,GO:0060089,molecular transducer activity,4.797425340876309e-72,True,"""A compound molecular function in which an effector function is controlled by one or more regulatory components."" [GOC:dos, GOC:pdt]",1513,454,169,20208,0.3722466960352423,0.1116986120290813,query_1,['GO:0003674']
GO:BP,GO:0002697,regulation of immune effector process,1.617496970437559e-71,True,"""Any process that modulates the frequency, rate, or extent of an immune effector process."" [GOC:add]",395,454,97,20972,0.21365638766519823,0.24556962025316456,query_1,"['GO:0002252', 'GO:0002682']"
GO:BP,GO:0030155,regulation of cell adhesion,1.7824204520171296e-71,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]",780,454,126,20972,0.2775330396475771,0.16153846153846155,query_1,"['GO:0007155', 'GO:0050794']"
GO:BP,GO:0032101,regulation of response to external stimulus,8.373023548660524e-70,True,"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]",1092,454,143,20972,0.31497797356828194,0.13095238095238096,query_1,"['GO:0009605', 'GO:0048583']"
GO:BP,GO:0002694,regulation of leukocyte activation,9.443752313698385e-70,True,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",572,454,110,20972,0.2422907488986784,0.19230769230769232,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']"
GO:BP,GO:0048522,positive regulation of cellular process,1.5304646598974694e-69,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,454,307,20972,0.6762114537444934,0.05349364000696986,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0048870,cell motility,2.647272988264499e-69,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1794,454,177,20972,0.3898678414096916,0.09866220735785954,query_1,['GO:0009987']
GO:BP,GO:0007159,leukocyte cell-cell adhesion,4.847163541797514e-67,True,"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]",413,454,95,20972,0.2092511013215859,0.23002421307506055,query_1,['GO:0098609']
REAC,REAC:R-HSA-168256,Immune System,9.23082100300368e-65,True,Immune System,2086,419,235,11056,0.5608591885441527,0.11265580057526366,query_1,['REAC:0000000']
GO:CC,GO:0016020,membrane,1.617423572079791e-64,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9975,459,384,22155,0.8366013071895425,0.03849624060150376,query_1,['GO:0110165']
GO:BP,GO:0050900,leukocyte migration,8.851279847978914e-64,True,"""The movement of a leukocyte within or between different tissues and organs of the body."" [GOC:add, ISBN:0781735149, PMID:14680625, PMID:14708592, PMID:7507411, PMID:8600538]",386,454,90,20972,0.19823788546255505,0.23316062176165803,query_1,"['GO:0002376', 'GO:0016477']"
GO:BP,GO:0001816,cytokine production,9.556730611427155e-64,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",786,454,119,20972,0.2621145374449339,0.15139949109414758,query_1,"['GO:0010467', 'GO:0032501']"
GO:BP,GO:0050778,positive regulation of immune response,1.9951135693876131e-63,True,"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",775,454,118,20972,0.2599118942731278,0.15225806451612903,query_1,"['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']"
GO:BP,GO:0001817,regulation of cytokine production,4.388173740424625e-62,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",780,454,117,20972,0.2577092511013216,0.15,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']"
GO:CC,GO:0097708,intracellular vesicle,8.142495238559415e-62,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2556,459,194,22155,0.4226579520697168,0.07589984350547731,query_1,"['GO:0031982', 'GO:0043231']"
GO:CC,GO:0031410,cytoplasmic vesicle,2.8927906315616765e-61,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2548,459,193,22155,0.420479302832244,0.07574568288854003,query_1,"['GO:0005737', 'GO:0097708']"
GO:BP,GO:0042110,T cell activation,3.39541812830702e-61,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",581,454,103,20972,0.22687224669603523,0.17728055077452667,query_1,['GO:0046649']
GO:BP,GO:0051249,regulation of lymphocyte activation,1.3282035203271145e-60,True,"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]",506,454,97,20972,0.21365638766519823,0.191699604743083,query_1,"['GO:0002694', 'GO:0046649']"
GO:BP,GO:0006935,chemotaxis,1.9701036169573178e-60,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",456,454,93,20972,0.20484581497797358,0.20394736842105263,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0042330,taxis,2.9966565339868324e-60,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",458,454,93,20972,0.20484581497797358,0.20305676855895197,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:0009607,response to biotic stimulus,3.8608281905775346e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1652,454,160,20972,0.3524229074889868,0.09685230024213075,query_1,['GO:0050896']
GO:BP,GO:0042221,response to chemical,4.2213885296833575e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3863,454,241,20972,0.5308370044052864,0.06238674605229096,query_1,['GO:0050896']
GO:BP,GO:0051707,response to other organism,4.8291174468381293e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1610,454,158,20972,0.34801762114537443,0.09813664596273292,query_1,"['GO:0043207', 'GO:0044419']"
GO:BP,GO:0043207,response to external biotic stimulus,6.285730016665878e-60,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1613,454,158,20972,0.34801762114537443,0.09795412275263485,query_1,"['GO:0009605', 'GO:0009607']"
GO:BP,GO:0030334,regulation of cell migration,2.010725819686882e-59,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",944,454,124,20972,0.27312775330396477,0.13135593220338984,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0002696,positive regulation of leukocyte activation,6.773918705529274e-59,True,"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]",363,454,84,20972,0.18502202643171806,0.23140495867768596,query_1,"['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']"
GO:BP,GO:0050867,positive regulation of cell activation,2.4685466789620406e-58,True,"""Any process that activates or increases the frequency, rate or extent of activation."" [GOC:ai]",380,454,85,20972,0.18722466960352424,0.2236842105263158,query_1,"['GO:0001775', 'GO:0048522', 'GO:0050865', 'GO:0051240']"
GO:BP,GO:0002443,leukocyte mediated immunity,1.312028258056427e-57,True,"""Any process involved in the carrying out of an immune response by a leukocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",475,454,92,20972,0.2026431718061674,0.1936842105263158,query_1,['GO:0002252']
GO:BP,GO:0030335,positive regulation of cell migration,1.604478794300806e-57,True,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",544,454,97,20972,0.21365638766519823,0.17830882352941177,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']"
GO:BP,GO:0002703,regulation of leukocyte mediated immunity,5.371310014815044e-57,True,"""Any process that modulates the frequency, rate, or extent of leukocyte mediated immunity."" [GOC:add]",252,454,72,20972,0.15859030837004406,0.2857142857142857,query_1,"['GO:0002443', 'GO:0002697']"
GO:BP,GO:0045785,positive regulation of cell adhesion,6.264950370977434e-57,True,"""Any process that activates or increases the frequency, rate or extent of cell adhesion."" [GOC:go_curators]",483,454,92,20972,0.2026431718061674,0.19047619047619047,query_1,"['GO:0007155', 'GO:0030155', 'GO:0048522']"
GO:BP,GO:0040017,positive regulation of locomotion,1.62837536429584e-56,True,"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",586,454,99,20972,0.21806167400881057,0.1689419795221843,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048518']"
GO:BP,GO:1903037,regulation of leukocyte cell-cell adhesion,1.8960170488744955e-56,True,"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",375,454,83,20972,0.1828193832599119,0.22133333333333333,query_1,"['GO:0007159', 'GO:0022407']"
GO:BP,GO:2000145,regulation of cell motility,2.9624278779532025e-56,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1005,454,124,20972,0.27312775330396477,0.12338308457711443,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0009967,positive regulation of signal transduction,1.0049824759512322e-55,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1569,454,151,20972,0.33259911894273125,0.09623964308476737,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']"
GO:BP,GO:2000147,positive regulation of cell motility,1.7400714478611925e-55,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",571,454,97,20972,0.21365638766519823,0.16987740805604204,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0002250,adaptive immune response,3.084712772963586e-55,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",761,454,109,20972,0.24008810572687225,0.14323258869908015,query_1,['GO:0006955']
GO:BP,GO:0040012,regulation of locomotion,3.670901480911624e-55,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",1046,454,125,20972,0.2753303964757709,0.11950286806883365,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0002699,positive regulation of immune effector process,3.904818233343218e-55,True,"""Any process that activates or increases the frequency, rate, or extent of an immune effector process."" [GOC:add]",256,454,71,20972,0.15638766519823788,0.27734375,query_1,"['GO:0002252', 'GO:0002684', 'GO:0002697']"
GO:BP,GO:1901652,response to peptide,5.2266390452481465e-55,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]",993,454,122,20972,0.2687224669603524,0.1228600201409869,query_1,['GO:0042221']
GO:BP,GO:0002706,regulation of lymphocyte mediated immunity,6.2536438422699004e-55,True,"""Any process that modulates the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]",193,454,64,20972,0.14096916299559473,0.3316062176165803,query_1,"['GO:0002449', 'GO:0002703']"
GO:BP,GO:0023056,positive regulation of signaling,8.873619094160275e-55,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1779,454,159,20972,0.3502202643171806,0.0893760539629005,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0050789,regulation of biological process,2.7671063185954377e-54,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12397,454,418,20972,0.920704845814978,0.03371783496007098,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0042127,regulation of cell population proliferation,5.296449617136928e-54,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1639,454,152,20972,0.33480176211453744,0.09273947528981086,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0051241,negative regulation of multicellular organismal process,6.062309927840858e-54,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1091,454,126,20972,0.2775330396475771,0.1154903758020165,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0022407,regulation of cell-cell adhesion,6.718211797357506e-54,True,"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]",493,454,90,20972,0.19823788546255505,0.18255578093306288,query_1,"['GO:0030155', 'GO:0098609']"
GO:BP,GO:0032103,positive regulation of response to external stimulus,1.7612915774330477e-53,True,"""Any process that activates, maintains or increases the rate of a response to an external stimulus."" [GOC:mah]",645,454,100,20972,0.22026431718061673,0.15503875968992248,query_1,"['GO:0009605', 'GO:0032101', 'GO:0048584']"
GO:BP,GO:0010647,positive regulation of cell communication,3.201630625021031e-53,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1778,454,157,20972,0.3458149779735683,0.08830146231721035,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:0060326,cell chemotaxis,4.330109775553902e-53,True,"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]",315,454,75,20972,0.16519823788546256,0.23809523809523808,query_1,"['GO:0006935', 'GO:0016477', 'GO:0070887']"
GO:BP,GO:0034097,response to cytokine,5.949495796007375e-53,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",979,454,119,20972,0.2621145374449339,0.12155260469867211,query_1,['GO:1901652']
